companyname,companyid,transcriptid,call_date,headline,turn_index,transcriptcomponentid,transcriptcomponenttypeid,component_type,speaker_name,speaker_type,turn_text
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",28,115750010,4,Answer,William Brown,Executives,"Well, Steve, that's a good question. I mean this year, we are seeing positive price. It's about half our organic growth, more or less, plus or minus 5% or thereabouts. We are covering material inflation this year. We're back to where we were kind of pre-pandemic levels, a little bit higher than that in -- during pandemic because, obviously, inflation was spiking there.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",29,115750011,4,Answer,Anurag Maheshwari,Executives,"And just to add to that, Steve. Yes, as Bill mentioned, price should cover cost and inflation for us, inflation on the cost going forward. The one way to kind of think about the margin expansion moving forward, clearly, volume is the biggest driver for us in terms of operating leverage that we have and the net productivity that we are driving. So volume in net productivity should be critical margin expansion drivers."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",30,115750012,3,Question,C. Stephen Tusa,Analysts,"And that you view price/cost as separate from that productivity, I would assume?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",31,115750013,4,Answer,Anurag Maheshwari,Executives,"Yes, correct."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",32,115750014,3,Question,C. Stephen Tusa,Analysts,In the bridge?
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",33,115750016,3,Question,C. Stephen Tusa,Analysts,"So then I'm just wondering like if you're -- if you got all these kind of like good guys going your way and assuming like the economy doesn't like go to hell, what is the -- like R&D is flat, you should get SG&A leverage. You're talking about this productivity, price/cost is not a headwind. Like what is the headwind to margins going forward? Like what's the negative?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",34,115750017,4,Answer,Anurag Maheshwari,Executives,"Yes. So the negative is essentially inflation that we will see over there, which is a wage inflation moving forward. But besides that, you shouldn't see any more -- of course, FX is there, which we don't know which way that could move.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",35,115750018,3,Question,C. Stephen Tusa,Analysts,"Sorry, one last one. How much is labor as a percent of your cost again?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",36,115750019,4,Answer,Anurag Maheshwari,Executives,"Labor as a percent of our cost is close to $10-ish billion, yes. $8 billion to $10 billion, yes."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",37,115750021,3,Question,Andrew Kaplowitz,Analysts,"Could you give us a little more color into your Consumer business? I think you talked about that it's getting a bit better. Could you elaborate on what you're seeing there as I think that business tends to be first in, first out in historical cycles?\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",38,115750022,4,Answer,William Brown,Executives,"So on Consumer, we were down about 3% in the first half, down about 70 basis points in the third quarter. But keep in mind, it has about 230 basis points of headwind associated with some of the portfolio prioritization efforts that the team is working on. And if you go back Q1 to Q2 to Q3 and then head into Q4, it's becoming less negative in terms of organic growth and it's trending to perhaps be positive in the fourth quarter.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",39,115750023,3,Question,Andrew Kaplowitz,Analysts,"That's helpful. And then, Bill, maybe just stepping back. You've talked a lot about growth through innovation. But how, if at all, are you pushing 3Mers to focus their innovation on maybe what I would call the right markets because it strikes me that there are just a few big global markets that are driving growth right now?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",40,115750024,4,Answer,William Brown,Executives,"So yes, we're spending a lot of time thinking about where we spend our precious $1 billion in R&D for sure, and making sure it's going after the right areas as part of our overall governance process and how we're developing our strategic plan to focus on those markets where we have a right to win, where we can actually earn value.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",41,115750026,3,Question,Brett Linzey,Analysts,"Welcome to Anurag. Just wanted to come back to the rationalization efforts. So I think it was 1 point of drag in the quarter, 1 point for the year. Perhaps just isolating rationalization and leaving out some of the new product launches and other growth, should we be thinking about another point of headwind next year as you continue the simplification efforts? Or is it something less as we proceed and advance forward here?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",42,115750027,4,Answer,William Brown,Executives,"No, Brett, it should decline substantially going into next year. I mean we'll lap the year. So there'll be a little bit of drag-on effect for things that happen in the course of '24. But we shouldn't see significant headwind from portfolio or geographic prioritization going into next year.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",43,115750028,3,Question,Brett Linzey,Analysts,"All right. Makes sense. And then just a follow-up on NPI and the launching of the new products, 10% growth next year. Just wanted to better understand the associated costs and where those introductions are aimed at the segment level. Should we be thinking of a commensurate level of R&D step-up? Or are you able to achieve this with repurposing the spending base?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",44,115750029,4,Answer,William Brown,Executives,"No. So it's within the existing spending base. As we go into '25, we'll come back and talk more about where we see R&D. But a couple of things are happening.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",45,115750031,3,Question,Joseph O'Dea,Analysts,"Bill, I wonder if you can elaborate a little bit more on the operating equipment efficiency comments you made. And when you talked about 50% utilization, well short of best-in-class, just in terms of any clarification of what kind of best-in-class would look like as well as what your targets are over, call it, the next 6 or 12 months there?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",46,115750032,4,Answer,William Brown,Executives,"Sure. Yes. Look, operating equipment efficiency is really -- it's a fundamental metric. Companies that do manufacturing have implemented this over many, many years. It's a relatively new concept. We have 38 large factories. It's about 75% of our volume. And about 140, about 80% of the assets that are in those factories, we implemented OEE.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",47,115750033,3,Question,Joseph O'Dea,Analysts,"And then also just wanted to ask on electronics demand trends. I think you commented that organically up high single digits. So earlier in the year, some spec-in tailwinds, but it seems like still growing at a good clip as you move later into the year. And so any color there, whether what you're seeing is trending with the market, if you're seeing any sort of share gain or taking advantage of pricing opportunities out there with the electronics growth?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",48,115750034,4,Answer,William Brown,Executives,Yes. So electronics was up pretty good year-to-date in the quarter. We did have some spec-in wins. I think we're growing at slightly higher than the market. We're watching pretty carefully what happens in the holiday trends here and what happens in the fourth quarter going into next year. So we're pretty pleased with where we've been so far.\
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",49,115750036,3,Question,Joseph Ritchie,Analysts,"Welcome, Anurag. Bill, I think you mentioned earlier that you were honing in on redesigning your forecasting and demand planning across, I think, 2 of your businesses. I'm just curious, like what are some kind of initial thoughts on improvements you think you can make? And then why not focus a little bit more holistically across the entire portfolio at this point?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",50,115750037,4,Answer,William Brown,Executives,"Well, this will eventually go across the entire portfolio. But stepping back, we are sitting there where we're not delivering to where we want to be on on-time in-full to customers. We're proud of where it's gotten to, but it's not where it needs to be.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",51,115750038,3,Question,Joseph Ritchie,Analysts,"Yes. That's super helpful, Bill, and detailed. I'm curious, do you think that by February, you'll have some kind of sense for what type of opportunity this presents for the organization?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",52,115750039,4,Answer,William Brown,Executives,"Yes. Look, we'll certainly know by February, the results of the couple of divisions. They're big divisions, not like small pieces. But we can estimate from that, we could probably estimate what's going to happen as we roll it out to other divisions. So yes, we can sort of lay out a lot more where I think you want to go, which is it's nice to talk about forecast accuracy, but tell me a little bit about how it's going to affect delivery performance, cost performance, inventory level. And I think we can kind of connect the dots on this as we get further mature on this particular area, Joe."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",53,115750041,3,Question,Christopher Snyder,Analysts,"Bill, on the last call, you talked about how you believe the business should be growing in excess of GDP. And I think to a prior question, you talked about better growth maybe into the back half of '25 and into '26.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",54,115750042,4,Answer,William Brown,Executives,"So Chris, our crystal ball is not going to be any better than what the various prognosticators out there are looking at in terms of what happens with industrial production, GDP, consumer behavior. I look back at the end of last year for what was predicted on IPI this year, and I think it was predicted 1.7%, that 1.2%.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",55,115750043,4,Answer,Anurag Maheshwari,Executives,"Yes. And just to add, right, we've grown 3 quarters consistently 1%. As Bill said, we'll give more color as time goes by over there. To Steve's question earlier, we said we can grow operating margin at a pretty healthy clip given all the levers we have.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",56,115750044,3,Question,Christopher Snyder,Analysts,"Appreciate that. And then if I could just follow up on maybe some of the portfolio pruning. Is it fair to assume that whatever business the company decides to leave, they will get paid for it? Not -- no more organic exit or at least nothing very sizable in terms of organic exit? I understand maybe certain SKUs or product lines can come and go."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",57,115750045,4,Answer,William Brown,Executives,"Yes. Look, I think there's going to be, over time, natural portfolio pruning in terms of SKUs. As you bring new products on, it may obsolete other things that need to go out. That churn, that part of -- that's a normal part of business, and that should all be sort of absorbed within your normal organic growth contributions that we should be growing at the market for.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",58,115750047,3,Question,Deane Dray,Analysts,Welcome to Anurag.
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",59,115750048,4,Answer,Anurag Maheshwari,Executives,Thank you.
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",60,115750049,3,Question,Deane Dray,Analysts,"Bill, this came up in the local paper, but it'd be interesting to hear your thoughts on the challenges you're facing, both operationally and culturally, to get the 3M employees back to the office.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",61,115750050,4,Answer,William Brown,Executives,"Well, so look, I mean, it's -- we need to grow our business. We need to innovate. Part of that is we need to solve problems for customers. I do think that you problem-solve, innovate better in person. We're going to maintain flexibility in our workforce. What we've done is for our largest sites at our most senior people, we've asked those individuals to be on the site wherever they report on Tuesday through Thursday, with some flexibility on Monday and Friday. This is an opportunity for us to continue to build our culture, build our relationships, problem-solve as a team. And I think it's the right step.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",62,115750051,3,Question,Deane Dray,Analysts,"Got it. And then just a last question. A lot of discussion today about new product introductions, efficiencies in R&D. Will you be bringing back the New Product Vitality Index? Is that one of the measures that 3M had at one time but then went away from it? What's your thought there?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",63,115750052,4,Answer,William Brown,Executives,"No, I'm happy to talk about it. I know there was reasons why we pulled away from it. We don't want to get that to be oversold or built into a comp metric or whatever. But the reality is it's an important metric. Because we've pulled back from introducing new products to the marketplace, we know that. I talked at some detail as to how many NPIs have come down over time and where we're at last year, going up 10% this year.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",64,115750054,4,Answer,William Brown,Executives,"Well, thank you very much to all of the analysts for joining today and asking a number of very, very good questions. I want to importantly thank all 3Mers for their dedication, their hard work on behalf of our customers and our shareholders throughout the quarter, throughout the year. And I look forward to speaking with all of the investors, as we get into late January, issue our Q4 results. And in late February, probably the last week of February, as we host an Investor Day likely here in Minneapolis. Have a very good day, everybody. Thank you so much."
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",1,115751832,3,Question,Susan Maklari,Analysts,"Thank you. Good morning, everyone. My first question is focusing on the North America residential water heater segment of the business. If I'm doing the math right, I think considering your guide that the industry volumes will be flat for the year, and based on what we know in terms of your commentary around price in that part of the business, it would suggest that you trailed the industry fairly significantly in the third quarter, and then you expect that to reverse pretty meaningfully going through the fourth quarter. I guess, first of all, is that right? And second of all, if so, can you just talk to what's driving those big moves that we've been seeing in the last several months?"
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",2,115751833,4,Answer,Kevin Wheeler,Executives,"Yes. I think it's -- let me just step back on that a little bit. The price increase that we had in the second quarter, we talked about generated orders than we anticipated, a 4% and particularly an 8% increase would generate. And that increased our lead times and pushed out some orders. And when that happens, we have ERP systems and our customers that also start to generate more orders and then we get behind. And then as we get into the second quarter and then even on our call in July we had mentioned, we saw some softness. And that was, us, working down our backlogs and really kind of bringing in line our lead times would again cause our distributors to reduce our inventories as they change their ERP systems back to a normal lead time. So there's been some puts and takes moving up and down in the market, but a lot of that deficit is just the inventory imbalance and timing.\"
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",3,115751834,4,Answer,Charles Lauber,Executives,"And maybe just a couple of comments in addition. So as Kevin said, there's a lot of timing that goes on with that. And we haven't changed our full year outlook. But in July, a flat industry, I would say we were thinking of it as flat being really the floor and probably flat to up in now as we look at the full year being flat, we'd say that the flat is probably the ceiling and were flat to down. So just kind of to gauge that.\"
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",4,115751836,3,Question,Jeffrey Hammond,Analysts,Just wondering about the stickiness of your March price increase. We've seen a lot of deflation in steel. And I'm just wondering if that's making it harder to push price in North America.
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",5,115751837,4,Answer,Kevin Wheeler,Executives,"Well, you know how much we like to talk about pricing here. But it's a good question. And as we look at it, the increase was executed as we indicated. And I would tell you, the markets are always competitive. But as I step back and how we build our business plan and what we expect out of volume and pricing, we're exactly where we thought we would be according to our plan. So it's a competitive market, but nothing from a perspective that we're concerned about. Our goal is always, always come back to our goal is always to keep our customers competitive. And I feel we're in a good position as we head into the fourth quarter."
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",6,115751838,3,Question,Jeffrey Hammond,Analysts,"Okay. And then just on China. I mean, the business has been down significantly than unevenly for some time and the returns are much lower than the North America business. Just wondering how you're thinking about that business strategically long term, does it make sense in the portfolio as an analyst, we get increasing number of questions about that over the last 12, 18 months."
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",7,115751839,4,Answer,Kevin Wheeler,Executives,"Yes, that's a fair question. I mean let me step back. A. O. Smith is a long-term company. And when we sit back and look at the markets, there's 3 markets that I think A. O. Smith should participate in and be a part of going forward on a long-term basis. One obviously is the U.S. I would tell you China is right behind that. It's the second largest economy. We'll be potentially to the #1 economy in the market still has a lot of upside from urbanization in the middle class. And the third is India. And you put those 3 countries together, where we have footprint in those markets, strong brands, strong organization.\"
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",8,115751841,3,Question,Matt Summerville,Analysts,"Maybe just a follow-up on China. Obviously, any early read you have on how we should be thinking about that business in 2025 in the context of the stimulus that you mentioned? And do you feel like this is the beginning of a longer duration down cycle in China? I just kind of getting back to Jeff's comment, which I thought was a fair one. I mean this business has not been able to sustain, bring together a multiyear period of growth since the late 2010."
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",9,115751842,4,Answer,Kevin Wheeler,Executives,"Yes. I would -- I think it's a little early on the stimulus side. We do think that's a positive outcome that we still need more information about. But again, as you look at it, I think the government of China realizes that they need to do something. They've announced a number of stimulus programs to increase credit to the stalled construction projects. They've canceled purchasing restrictions, lower mortgage rates down. They put on a litany of list, I think, are going to have a positive impact. However, we still don't know the size of the stimulus, and that's an important part of it.\"
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",10,115751843,3,Question,Matt Summerville,Analysts,"And then just as a follow-up, you mentioned what sounds like it may be more of a sustained pivot in your North America commercial business to electric away from gas. Are you appropriately capacitized today to address that market trend. Help me kind of understand a little bit more about what's going on there?"
A. O. Smith Corporation,997111,3286259,2024-10-22,"A. O. Smith Corporation, Q3 2024 Earnings Call, Oct 22, 2024",11,115751844,4,Answer,Charles Lauber,Executives,"Yes, Matt. We're very comfortable with our share in both electric and gas. And if you recall earlier in the year, we were talking a bit about being heavier on the gas side of the business, which helped us a bit in Q1 and Q2, and now it's -- what we're really seeing is a little bit of an unwind of that. And from a headwind, we'll be facing that in the back half of the year, but we're very comfortable with our capacity and our position, both electric and gas commercial."
